N,form,optimal form,min poly,partial obstructions,class number,r,no ideal eq,no Thue eq,S-unit ranks,local obstruction time,GL2Z action time,class group time,unit group time,ideal eq time,Thue eq time,S-unit time,bound time,total time
45,"(1,3,3,3)","(1,3,3,3)","(1,3,3,3)",None,1,1,2,0,"(2,2)",0.330,1.290,0.040,0.000,0.010,0.000,0.000,0.000,1.700
54,"(1,0,3,2)","(1,0,3,2)","(1,0,3,2)",None,1,1,2,2,"(2,2)",0.180,1.770,0.040,0.010,0.000,0.000,0.010,0.000,2.010
26,"(2,2,3,1)","(2,2,3,1)","(1,2,6,4)","(3)",1,1,3,1,"(2,2,3)",0.370,2.030,0.040,0.000,0.020,0.000,0.010,0.010,2.500
18,"(1,0,3,2)","(1,0,3,2)","(1,0,3,2)",None,1,1,1,1,"(2)",0.150,1.950,0.060,0.000,0.000,0.000,0.010,0.000,2.190
22,"(1,2,2,2)","(1,2,2,2)","(1,2,2,2)","(3)",1,1,2,2,"(2,2)",0.180,2.140,0.040,0.000,0.010,0.000,0.010,0.000,2.400
44,"(1,2,2,2)","(1,2,2,2)","(1,2,2,2)","(3)",1,1,1,1,"(2)",0.120,2.050,0.040,0.000,0.010,0.000,0.010,0.000,2.240
57,"(1,1,3,1)","(1,1,3,1)","(1,1,3,1)",None,1,1,4,0,"(2,3,2,3)",0.200,2.070,0.050,0.010,0.020,0.000,0.000,0.000,2.380
50,"(1,2,3,4)","(1,2,3,4)","(1,2,3,4)","(3)",1,1,2,2,"(2,2)",0.190,2.320,0.060,0.000,0.000,0.010,0.010,0.000,2.620
38,"(1,1,3,1)","(1,1,3,1)","(1,1,3,1)",None,1,1,2,2,"(2,2)",0.380,2.380,0.030,0.000,0.010,0.000,0.010,0.000,2.850
44,"(1,2,4,4)","(1,2,4,4)","(1,2,4,4)","(3)",1,1,2,2,"(2,2)",0.290,2.550,0.050,0.000,0.010,0.000,0.010,0.000,2.940
11,"(1,2,2,2)","(1,2,2,2)","(1,2,2,2)","(3)",1,1,2,2,"(2,2)",0.120,2.570,0.050,0.000,0.010,0.010,0.000,0.000,2.780
58,"(1,1,0,2)","(1,1,0,2)","(1,1,0,2)","(3)",1,1,3,1,"(2,2,3)",0.210,2.710,0.040,0.000,0.010,0.000,0.010,0.000,3.000
76,"(1,1,3,1)","(1,1,3,1)","(1,1,3,1)",None,1,1,1,1,"(2)",0.100,2.470,0.040,0.000,0.010,0.000,0.000,0.010,2.660
43,"(2,0,2,1)","(2,0,2,1)","(1,0,4,4)",None,1,1,2,2,"(2,2)",0.130,3.130,0.040,0.000,0.030,0.000,0.000,0.000,3.360
76,"(1,4,4,4)","(1,4,4,4)","(1,4,4,4)",None,1,1,2,2,"(2,2)",0.110,2.790,0.060,0.000,0.010,0.000,0.010,0.000,2.990
19,"(1,1,3,1)","(1,1,3,1)","(1,1,3,1)",None,1,1,2,2,"(2,2)",0.110,3.550,0.040,0.000,0.020,0.000,0.020,0.000,3.750
90,"(1,3,3,3)","(1,3,3,3)","(1,3,3,3)",None,1,1,2,0,"(2,2)",0.320,1.130,0.040,0.000,0.000,0.000,0.010,0.000,1.550
51,"(1,1,1,3)","(1,1,1,3)","(1,1,1,3)",None,1,1,6,2,"(2,2,3,2,2,3)",0.460,3.730,0.050,0.000,0.030,0.000,0.010,0.000,4.320
77,"(1,2,2,2)","(1,2,2,2)","(1,2,2,2)","(3)",1,1,4,0,"(2,3,2,3)",0.110,2.310,0.040,0.000,0.020,0.000,0.010,0.000,2.520
59,"(2,1,2,-1)","(59,87,34,4)","(1,87,2006,13924)","(3)",1,1,3,4,"(2,2,2)",0.140,4.090,0.040,0.000,0.060,0.000,0.000,0.000,4.360
99,"(1,3,3,3)","(1,3,3,3)","(1,3,3,3)",None,1,1,2,0,"(2,2)",0.250,1.350,0.050,0.000,0.020,0.000,0.000,0.000,1.710
38,"(2,3,4,2)","(2,-6,-5,-1)","(1,-6,-10,-4)","(3)",1,1,3,1,"(2,2,3)",0.150,4.460,0.060,0.000,0.020,0.000,0.010,0.000,4.720
67,"(2,4,4,3)","(2,4,4,3)","(1,4,8,12)",None,1,1,2,2,"(2,2)",0.150,4.300,0.050,0.000,0.040,0.000,0.010,0.000,4.580
88,"(1,2,4,4)","(1,2,4,4)","(1,2,4,4)","(3)",1,1,2,2,"(2,2)",0.280,2.340,0.040,0.000,0.010,0.000,0.010,0.000,2.850
70,"(1,0,2,2)","(1,0,2,2)","(1,0,2,2)","(3)",1,1,6,2,"(2,2,2,2,3,3)",0.130,4.550,0.050,0.000,0.010,0.000,0.010,0.010,4.770
90,"(1,3,6,10)","(1,3,6,10)","(1,3,6,10)",None,1,1,3,1,"(2,2,3)",0.110,2.150,0.050,0.010,0.000,0.010,0.000,0.010,2.350
74,"(1,1,-3,-1)","(1,1,-3,-1)","(1,1,-3,-1)","(3)",1,2,2,2,"(3,3)",0.350,4.290,0.060,0.000,0.020,0.000,0.010,0.000,4.780
83,"(1,1,2,4)","(1,1,2,4)","(1,1,2,4)","(3)",1,1,3,2,"(2,2,2)",0.280,2.700,0.060,0.000,0.040,0.000,0.000,0.010,3.160
63,"(2,3,6,3)","(3,-6,3,-2)","(1,-6,9,-18)",None,1,1,5,2,"(2,2,2,2,2)",0.160,4.970,0.050,0.000,0.060,0.010,0.010,0.000,5.300
86,"(2,0,2,1)","(2,0,2,1)","(1,0,4,4)",None,1,1,2,2,"(2,2)",0.130,2.920,0.050,0.000,0.020,0.010,0.000,0.000,3.150
88,"(1,2,2,2)","(1,2,2,2)","(1,2,2,2)","(3)",1,1,2,2,"(2,2)",0.100,2.930,0.050,0.000,0.010,0.010,0.000,0.000,3.110
37,"(1,1,-3,-1)","(1,1,-3,-1)","(1,1,-3,-1)","(3)",1,2,2,2,"(3,3)",0.130,5.430,0.070,0.010,0.020,0.000,0.010,0.000,5.690
63,"(1,0,-6,-2)","(1,0,-6,-2)","(1,0,-6,-2)",None,1,2,2,2,"(3,3)",0.190,5.380,0.050,0.010,0.010,0.000,0.010,0.010,5.660
75,"(2,2,4,1)","(2,2,4,1)","(1,2,8,4)",None,1,1,4,4,"(2,2,2,2)",0.160,5.270,0.060,0.000,0.020,0.010,0.010,0.000,5.560
102,"(1,1,1,3)","(1,1,1,3)","(1,1,1,3)",None,1,1,6,2,"(2,2,2,2,3,3)",0.460,2.520,0.060,0.000,0.010,0.010,0.000,0.010,3.150
99,"(1,2,2,2)","(1,2,2,2)","(1,2,2,2)","(3)",1,1,2,2,"(2,2)",0.440,2.990,0.040,0.000,0.020,0.000,0.000,0.010,3.560
53,"(1,1,4,2)","(1,1,4,2)","(1,1,4,2)","(3)",1,1,5,2,"(2,2,2,2,2)",0.130,5.700,0.050,0.000,0.070,0.000,0.010,0.000,6.010
35,"(1,0,2,2)","(1,0,2,2)","(1,0,2,2)","(3)",1,1,6,2,"(2,2,3,2,2,3)",0.390,6.340,0.030,0.000,0.030,0.000,0.010,0.000,6.860
91,"(1,0,4,2)","(1,0,4,2)","(1,0,4,2)",None,1,1,6,2,"(2,2,3,2,2,3)",0.150,3.470,0.040,0.000,0.030,0.010,0.000,0.000,3.720
106,"(1,1,4,2)","(1,1,4,2)","(1,1,4,2)","(3)",1,1,3,1,"(2,2,3)",0.350,2.650,0.050,0.000,0.020,0.000,0.010,0.000,3.180
114,"(1,1,3,1)","(1,1,3,1)","(1,1,3,1)",None,1,1,4,0,"(2,2,3,3)",0.090,1.840,0.050,0.000,0.020,0.000,0.000,0.010,2.020
29,"(1,1,0,2)","(1,1,0,2)","(1,1,0,2)","(3)",1,1,5,2,"(2,2,2,2,2)",0.250,6.710,0.030,0.010,0.050,0.010,0.010,0.000,7.090
107,"(1,3,2,4)","(1,3,2,4)","(1,3,2,4)","(3)",1,1,3,2,"(2,2,2)",0.410,2.960,0.040,0.000,0.040,0.000,0.010,0.000,3.520
104,"(2,2,3,1)","(13,19,10,2)","(1,19,130,338)","(3)",1,1,3,2,"(2,2,2)",0.180,3.500,0.050,0.000,0.050,0.000,0.020,0.000,3.850
116,"(2,1,4,1)","(29,-32,13,-2)","(1,-32,377,-1682)","(3)",1,1,3,4,"(2,2,2)",0.150,2.790,0.040,0.000,0.030,0.010,0.000,0.010,3.060
110,"(2,0,1,2)","(2,0,1,2)","(1,0,2,8)","(3)",1,1,7,1,"(2,2,3,2,3,3,4)",0.140,3.510,0.040,0.000,0.020,0.000,0.010,0.000,3.750
121,"(1,2,2,2)","(1,2,2,2)","(1,2,2,2)","(3)",1,1,2,2,"(2,2)",0.530,2.840,0.030,0.000,0.010,0.000,0.010,0.000,3.480
135,"(1,3,3,3)","(1,3,3,3)","(1,3,3,3)",None,1,1,4,0,"(2,2,2,2)",0.440,1.620,0.040,0.000,0.010,0.000,0.000,0.010,2.170
116,"(1,1,0,2)","(1,1,0,2)","(1,1,0,2)","(3)",1,1,2,1,"(2,2)",0.670,3.430,0.040,0.000,0.020,0.000,0.010,0.000,4.230
115,"(1,1,5,3)","(1,1,5,3)","(1,1,5,3)",None,1,1,6,2,"(2,2,3,2,2,3)",0.120,3.620,0.040,0.000,0.030,0.000,0.000,0.010,3.830
129,"(2,0,2,1)","(2,0,2,1)","(1,0,4,4)",None,1,1,4,0,"(2,3,2,3)",0.470,2.540,0.050,0.000,0.030,0.000,0.010,0.010,3.140
106,"(3,4,5,2)","(53,-53,18,-2)","(1,-53,954,-5618)",None,1,1,3,1,"(2,2,3)",0.500,4.720,0.050,0.010,0.030,0.000,0.010,0.000,5.400
126,"(3,3,6,2)","(3,3,6,2)","(1,3,18,18)",None,1,1,3,1,"(2,2,3)",0.610,2.860,0.050,0.010,0.010,0.000,0.010,0.000,3.590
123,"(1,2,4,6)","(1,2,4,6)","(1,2,4,6)",None,1,1,6,2,"(2,2,3,2,2,3)",0.110,3.410,0.050,0.000,0.040,0.000,0.010,0.000,3.630
118,"(2,1,2,-1)","(1,2,-1,2)","(1,2,-1,2)","(3)",1,1,3,1,"(2,2,3)",0.580,3.730,0.040,0.000,0.030,0.010,0.000,0.010,4.470
126,"(2,3,6,3)","(2,6,3,2)","(1,6,6,8)",None,1,1,3,1,"(2,2,3)",0.160,3.240,0.050,0.000,0.020,0.000,0.010,0.000,3.520
143,"(1,2,2,2)","(1,2,2,2)","(1,2,2,2)","(3)",1,1,4,0,"(2,3,2,3)",0.490,2.080,0.050,0.000,0.020,0.000,0.010,0.000,2.690
126,"(1,0,-6,-2)","(1,0,-6,-2)","(1,0,-6,-2)",None,1,2,2,2,"(3,3)",0.220,3.760,0.040,0.010,0.000,0.010,0.000,0.000,4.080
147,"(1,2,6,6)","(1,2,6,6)","(1,2,6,6)",None,3,1,4,2,"(2,2,2,2)",0.130,1.400,0.050,0.000,0.020,0.000,0.000,0.010,1.730
89,"(2,1,2,2)","(1,6,5,2)","(1,6,5,2)","(3)",1,1,5,2,"(2,2,2,2,2)",0.480,7.170,0.040,0.000,0.080,0.010,0.000,0.000,7.810
144,"(1,0,3,2)","(1,0,3,2)","(1,0,3,2)",None,1,1,1,1,"(2)",0.130,1.750,0.060,0.000,0.010,0.000,0.000,0.010,1.970
